歌名,歌手,出现次数
不爱说话的人Ⅱ,麻园诗人,1
不用去猜 (Jazz Version),Jony J,1
不老的传说,张学友,1
不要变,任贤齐,1
不要害怕,王力宏,1
不要等我回来,靳松,1
不要说话,陈奕迅,1
不见不散,孙楠,1
与世界温暖相拥,盘尼西林,1
与你分享我的眼睛,法兹乐队 FAZI,1
与你常在,陈奕迅 / eason and the duo band,1
与海无关,告五人,1
且听风吟,朴树,1
世上只有妈妈好,贝乐虎儿歌,1
世上最美的旋律,大张伟,1
世先生,彭坦,1
世界上不存在的歌 (2020重唱版),陈奕迅,1
世界上的另一个我,阿肆 / 郭采洁,1
世界之最(我愿意),郑秀文,1
世间始终你好,罗文 / 甄妮,1
东北人都是活雷锋,雪村,1
东北民谣,毛不易,1
丢掉了（Bye Bye）,白百EndlessWhite,1
两个,陈壹千,1
两千万分之一,声音碎片乐队,1
两只老虎,宝宝巴士,1
两难,戴佩妮,1
中华人民共和国国歌(义勇军进行曲),音乐舞蹈史诗《东方红》合唱队,1
中意他,梁咏琪,1
临暗,生祥与瓦窑坑3,1
丹歌惊鸿（动画《一人之下2》片尾曲王也角色歌）,坡上村,1
为什么,马思唯,1
为你写的歌,方大同,1
为你写诗,汪苏泷 / 周洁琼,1
为你写诗（女声吉他弹唱）,李瑨瑶,1
为你痴狂,Gambler,1
为你而活,神木与瞳,1
为爱说抱歉,孙楠,1
主角,王菲,1
久别的人,白雪,1
之乎者也 (Live版),罗大佑,1
乌兰巴托的夜,安来宁,1
乌兰巴托的夜 (Live),谭维维,1
乌鸦,许嵩,1
乏善可陈,deca joins,1
乐园(粤),与非门,1
九七年一月流浪在世界尽头,UmzBeatz,1
九份的咖啡店,陈绮贞,1
九月(海子),周云蓬,1
九月清晨,许嵩,1
也罢,鲁向卉,1
习惯晚睡,李荣浩,1
乡愁四韵,罗大佑,1
乡间的小路,张明敏,1
买,自然卷,1
买房子,周云蓬,1
予你,队长,1
争鸣,沼泽,1
二〇一六六月二十四绝笔,珍妮金桔,1
二十,帆布小镇,1
二十一世纪，当我们还年轻时,刺猬,1
二零三,毛不易,1
于心有愧,陈奕迅,1
于是,何欣穗,1
云野,好妹妹,1
五分儿,达达乐队,1
五号公车风琴诵,王双骏,1
五月の村,久石譲,1
五月雨,高梨康治,1
亚麻质地的少女,温格华生,1
交响梦,苏打绿,1
交织千个心,Beyond,1
京东街头的雾,阴天,1
亲一口月亮，然后就睡觉,PIggy,1
亲爱的你啊,任素汐,1
亲爱的再见,戴佩妮,1
亲爱的小孩,苏芮,1
亲爱的自己 (Gill Chang Remix),Hello Nico,1
亲爱的，这次日落,帆布小镇（Canvas Townlet）,1
人世间,雷佳,1
人来疯（LIVE版）,艾热 AIR / 王以太 / 杨和苏KeyNG / 早安,1
人洞山,草东没有派对,1
人生何处不相逢,陈慧娴,1
人生很難,郑宜农,1
人间指南,陈婧霏,1
人间烟火,陈硕子,1
什么跟什么有什么关系,魏如萱 / 许光汉,1
什么都不必说,大张伟,1
什么都舍得,戴佩妮,1
今夜,布衣乐队,1
今夜このまま,あいみょん,1
今夜はハーティー・パーティー,竹内まりや,1
今夜你会不会来(国),黎明,1
今夜无法入眠,帆布小镇（Canvas Townlet）,1
今夜的滋味,朴树,1
今夜还吹着风,腰乐队,1
今天不想回家（B Version）,康姆士COM'Z,1
今天也想见到你,焦迈奇,1
今天你要嫁给我,陶喆 / 蔡依林,1
今天只做一件事,陈奕迅,1
今天我疯了,西安老钱,1
今天是星期几,房东的猫,1
今天没回家,陶喆,1
今宵多珍重,王若琳,1
今晚的月亮,崔开潮,1
今晚约会吧,SORROW,1
今生共相伴,谢霆锋,1
从出生到现在,海朋森,1
从前慢 (吉他弹唱),洪尘,1
从前有座山,邬先生乐队,1
从夜晚，到清晨,贰佰,1
从头再来,崔健,1
仓颉,五月天,1
他,打扰一下乐团,1
他一定很爱你,阿杜,1
他不爱我,莫文蔚,1
他在乎（我去世了，然后...）,Spylent,1
他夏了夏天,苏打绿,1
他真的在哭泣,木玛&Third Party / Muma木马,1
仙人指路(吉他版),歌之初乐队,1
仙人掌,蔡宇宁,1
仙情爱问,刺猬,1
以后别做朋友,周兴哲,1
以渺小之名,夏日入侵企画,1
价值,齐秦,1
仿佛昨天,张杰,1
伊甸园,P.K.14,1
优美的低于生活,声音碎片乐队,1
会呼吸的痛,林宝馨,1
伦敦,小猪佩奇,1
似是故人来(Live),梅艳芳,1
似曾相识,陶喆,1
何らの苦しみにもあわずして、何人をも幸福とは『呼』ぶなかれ.,té,1
佛说圣佛母般若波罗蜜多心经,王菲,1
你,王菲,1
你 (Live),屠洪刚,1
你 (Unplugged) (live),王菲,1
你(吉他甜蜜版),林依晨,1
你不是真正的快乐,五月天,1
你会成为你想的那个人（翻自 梁博）,金叙宏,1
你值得更好的,张杰,1
你像个孩子,李宗盛,1
你可别卷了,SipSu小口酥 / 灯灯灯泡 / 迟亦骁,1
你啊你啊,魏如萱,1
你嗰边几点 what time is it in your area,royster lee,1
你在他乡还好吗,光头李进,1
你在何地(Live),张国荣,1
你在夏天的微风中举起手,帆布小镇（Canvas Townlet）,1
你大可不必假装快乐,黑屋乐队,1
你好,康士坦的变化球,1
你好吗,光良,1
你少在那边,旺福,1
你必须在一个荒唐的夜，骑着摩托穿过下雨的街,风子,1
你快回来,孙楠,1
你我经历的一刻,王菲,1
你把我灌醉,黄大炜,1
你是我的眼,萧煌奇,1
你是无可替代 (Live),声音玩具 / 魏如萱,1
你比从前快乐,周杰伦,1
你永远是我的宝贝，宝贝,康姆士COM'Z,1
你没有名字,旅行团,1
你爱我,伍佰 & China Blue,1
你爱我吗,侯湘婷,1
你的一生我只借一晚,吴遥,1
你的天空,那奇沃夫 / 阿达娃,1
你的影子,风子,1
你的微笑,F.I.R.,1
你的晚安是想让我闭嘴吧,焦迈奇,1
你的爱情 (Live),逃跑计划,1
你的眼睛,熊天平 / 许茹芸,1
你知道我在等你吗,迪克牛仔,1
你知道我爱你,黄磊,1
你离开了我的夏天,李昊,1
你给我听好,陈奕迅,1
你被我浪漫,白百EndlessWhite,1
你要如何，我们就如何,康姆士COM'Z,1
你要跳舞吗,新裤子,1
你说一切都会好的,帆布小镇（Canvas Townlet）,1
你说的,张学友,1
你还怕大雨吗,周柏豪,1
你还记得那个电影演员吗？,新裤子,1
你那里是什么天气？,LÜCY,1
佩奇的夏天2021,阁楼演奏班,1
來跟我跳舞2019,康姆士COM'Z,1
依,谷柏杉,1
依兰爱情故事,方磊,1
侠客行,虞霞 / 李小龙,1
便利店女孩,悶餅MOONBAND,1
係咁先啦 (feat. Kayan9896),MC $oho & KidNey / Kayan9896,1
保卫黄河,中国人民解放军合唱团,1
信心花舍,陈奕迅,1
俩俩相忘,辛晓琪,1
俾面派对,Beyond,1
借我,谢春花,1
倩女幽魂,张国荣,1
值多少,火星电台,1
假如,信乐团,1
假如我是真的,王菲,1
做事人,美秀集团,1
偶然间,张军,1
偶遇,周迅,1
偷情的礼仪,谢安琪,1
傍晚,刘若英,1
催眠,王菲,1
傲寒 (Live),宫阁 / 音乐好朋友,1
傷,岩井俊二,1
傻哥歌,熊天平,1
傻子才悲伤,朴树,1
傻情人,伍佰 & China Blue,1
傻瓜-刘波,刘波,1
傻鸟,岛屿心情,1
像风一样吹来,不可撤销,1
像鱼,王贰浪,1
儿时（刘昊霖原版）,刘昊霖,1
允许部分艺术家先富起来,二手玫瑰,1
兄妹,陈奕迅,1
兄弟,任贤齐,1
光るなら,Goose house,1
光合作用,晨曦光廊,1
光辉岁月,Beyond,1
光辉岁月 (粤语),Beyond,1
光阴的故事,罗大佑,1
兔儿乖,达闻西乐队,1
兔子先生,萧忆情Alex / 满汉全席,1
兔子说,丁丁RaJor,1
兔子跑吧,七八点,1
兜圈（粤语版）,Pakway,1
入海,毛不易,1
入阵曲,五月天,1
全世界谁倾听你,林宥嘉,1
八月午后,好妹妹,1
公主病,周杰伦,1
公转自转,王力宏,1
六个猪头 (粤),群星,1
六年魔幻,Mc小千,1
六月的某一个早晨,理想后花园,1
六月的雨,余佳运,1
关于你的心事,刘梓炎,1
关于夜晚和失眠的世界(album version),新裤子,1
关于未来 我不知道,岛屿心情,1
关于爱的定义,方大同,1
关于现在关于未来,老狼,1
关于贾宏声,Aliosha,1
再一起,余佳运,1
再度重相逢,伍佰 & China Blue,1
再次来临 (2020年版),谢天笑,1
再美的旋律不过是撩拨你的借口,咖喱3000,1
再见二丁目,杨千嬅,1
再见悲哀,林忆莲,1
再见文汇路,安来宁,1
再见理想,Beyond,1
再见萤火虫,王菲,1
再见迷海,唯利玉碎计划,1
再见青春 (Live),张韶涵,1
再见！马克西姆,大波浪,1
再见，所有时间,白日密语,1
再飞行,逃跑计划,1
冤气,陈奕迅,1
冬,好妹妹,1
冬天的秘密,周传雄,1
冬天里的一把火,费翔,1
冬季到台北来看雨,孟庭苇,1
冬日 三九,驹小驹,1
冬春说,不可撤销,1
冬至,七八点,1
冰力十足,任贤齐,1
冰柜,许嵩 / 黄龄,1
冲出你的窗口,朴树,1
决定性瞬间,愚月FoolMoon / 椅子乐团 The Chairs,1
冷战,王菲,1
冷雨,莫文蔚,1
冻结,林俊杰,1
冼星海：黄河大合唱,中国国家交响乐团,1
凌波,达达乐队,1
凡人歌,李宗盛,1
凤凰花开的路口,林志炫,1
出城,赵俊杰,1
出海,海底时光机,1
出走,Diels-Alder,1
出门,尹吾,1
刀剑如梦,周华健,1
分不开的两个人,品冠,1
分他一些快乐,邵帅,1
分分钟需要你(Live),卢冠廷 / 林子祥,1
初夏的风,Hea2t,1
初恋的地方,王菲,1
初恋的故事,王峥嵘,1
初遇,黄霑,1
初雪 (Live),EXO-M,1
别再想见我,许光汉,1
别再问我什么是迪斯科,张蔷,1
别哭，我最爱的人(Live),郑智化,1
别怕我伤心,张信哲,1
别惹我,五月天,1
别杀我,卢广仲,1
别来无恙 Nice to Meet you Too,AMnesiac安尼西亚,1
刻在我心底的名字 (Cover),魏如萱,1
剪爱 (Live),黄绮珊,1
加速度,瞿颖,1
动画城,苟瀚中,1
动起來,郭富城,1
动起来,郭富城,1
努力工作吧,YoungHo赛文,1
勿忘我,陶喆,1
包青天,胡瓜,1
匆匆,赵俊杰,1
北京欢迎你,谭晶,1
北国,燕池,1
北大荒,安来宁,1
北方女王,尧十三,1
北极星的眼泪,张栋梁,1
北海,永动机,1
北海道恋人,裘德,1
北西南风,罗大佑,1
十七岁的夏天,钟易轩,1
十七岁的雨季,林志颖,1
十万毫升泪水,蔡健雅,1
十九岁,赵雷,1
十八,Beyond,1
十字路口,Beyond,1
十年,陈奕迅,1
十年 Feature(Feat. SoftLipa.Jnco),AP满人 / Jnco / 蛋堡,1
十点半的地铁 (live),李健,1
千年等一回,高胜美,1
千里江山,晓月老板,1
午夜歌手,低苦艾,1
午夜说再见 (Live),达达乐队,1
半句再见,孙燕姿,1
半笙,大冰小助手,1
单人旅途,许嵩,1
单恋,光良,1
单身情歌,林志炫,1
单车 (Live),林子祥 / Mike 曾比特,1
单车(Live),陈奕迅,1
单车少女,张学友,1
单车岁月et冒险小子(Mix),水木年华,1
卖拐,赵本山 / 范伟 / 高秀敏,1
卖花的人,魏如萱 / 鲜于贞娥,1
南 海 花 痴（PLUS版）,UmzBeatz,1
南屏晚钟 (Live),易烊千玺,1
南部小城,酒窝,1
南门路上 (Live Session),薛诒丹,1
博卡拉,痛仰乐队,1
卡农 (十孔口琴版),晓月老板,1
卡农（经典钢琴版）,dylanf,1
卧室,deca joins,1
印 (live版),好妹妹,1
历历万乡,陈粒,1
原来那天的阳光,好妹妹,1
原点,孙燕姿 / 蔡健雅,1
原谅我无法回复你姑娘,低苦艾,1
厦门,法兹乐队 FAZI,1
去时风,聲無哀樂,1
去看星星好不好,陈翌朦,1
去见你,徐秉龙,1
又唱江南,宋祖英,1
又是一天 (ft. Chinese Football),Shanghai Qiutian,1
友情岁月,郑伊健,1
双城故事,莫文蔚,1
双子座,青年小伙子,1
双手插口袋,张震岳,1
双门洞（Harmonica）,晓月老板,1
只对你有感觉,林俊杰,1
只得一生,罗大佑,1
只想请你看着我,呼吸,1
只是有人留在了昨天,供销社乐队,1
只是朋友,张震岳,1
只是这人生,许美静,1
只有你陪我一起唱歌,老狼,1
只爱一点点,石珍 / 任东,1
只身,焦迈奇,1
可一可再,陈奕迅 / eason and the duo band,1
可惜不可以,蔡旻佑,1
可惜没如果,林俊杰,1
可爱的一朵玫瑰花,WeirdoRoom 怪人房间,1
可能否,腾格尔,1
叱咤红人 (live),回春丹,1
叶子（翻自 阿桑）,臧臧,1
吉他手,陈绮贞,1
吉祥如意,凤凰传奇,1
吉米 来吧 (Live),低才生,1
同一首歌,毛阿敏,1
同桌的你,胡夏,1
后来,刘若英,1
后马厂,孤独的利里（Lonely Leary）,1
向前冲,徐怀钰,1
向告别飞驰吧,昨夜派对（L.N Party）,1
向天再借五百年,韩磊,1
向左走 向右走,梁咏琪,1
向我开炮,花儿乐队,1
向日葵,Sekai no Owari,1
向橘红色的天空叫喊,顶楼的马戏团,1
君が好きだと叫びたい（好想大声说爱你）TV动画《灌篮高手》OP1,LordHeeDictator,1
君が生まれた日,moose,1
君をさがしている (朝が来るまで),佐野元春,1
吞吐 (Puff),八仙饭店 (8 Immortals Restaurant),1
听见有人叫你宝贝,李宗盛,1
吸你,蓝奕邦,1
吾空唐人初阶,王双骏,1
告别我的恋人们,古巨基,1
告别的年代,罗大佑,1
告白,RADWIMPS,1
告白♡,传琦SAMA,1
告诉我,陈绮贞,1
告诉我他们都在本来的什么地方,当代电影大师,1
呓语,毛不易,1
周末下雨(Demo),熊天平,1
周波数,Sekai no Owari,1
呼吸我呼吸的 (Live),Kirsty刘瑾睿,1
呼吸有害,莫文蔚,1
呼和浩特 我只欠你一首歌,张涵,1
命运还是巧合,谢天笑,1
和你,余佳运,1
和你在一起（翻自 BB）,谣子 / 朱格乐,1
和你在一起（翻自 逼哥）,耿十三,1
和大伙儿去乘凉,张楚,1
和平,孙燕姿,1
和平与爱,Beyond,1
咖啡,张学友,1
咱们屯里人(粤语版),罗凯楠,1
咻蹦蹦,旺福,1
哈哈哈,孟慧圆,1
哈喽 哈喽,丢火车,1
哦， 及时行乐（合唱版）,万晓利 / 万畅,1
哪一位上帝会原谅我们呢,张玮玮,1
哪儿,王菲,1
哪呢,窦唯,1
哪怕路远,黑撒,1
哪里是你的拥抱,逃跑计划,1
哪里都是你,队长,1
哭不出来(Live),张惠妹,1
哭啊，让离开的人再回来,理想后花园,1
唯独你是不可取替 (Live),郑秀文,1
喜剧之王,李荣浩,1
喜剧之王经典台词&插曲,Jerry's Mirror,1
喜悦,许巍,1
喜欢你没道理,张韶涵,1
喜欢你现在的样子,黄韵玲,1
喜欢寂寞,苏打绿,1
喜鹊,鸟撞 Birdstriking,1
喝不完的酒,吴宁越,1
嘮叨,康士坦的变化球,1
嘿!姑娘,反光镜,1
嘿！今后的日子也要加油啊,谷蓝帝 / 共青团中央,1
嘿，请你爱我吧,霓虹花园 / 汉堡黄,1
噢 乖 (Live),窦唯,1
噢！乖,窦唯,1
噩梦,Tizzy T,1
嚎叫,反光镜,1
囍帖街(Live),陈奕迅,1
四人游,方大同 / 薛凯琪,1
四季,许巍,1
四月物语,Chinese Football,1
回到,蛋堡,1
回到1999,棱镜,1
回到未来,Tizzy T / Double Zhuo,1
回娘家,于文华,1
回心转意,许美静,1
回忆是红色天空,王菲,1
回留,方大同,1
因为你 所以我,五月天,1
因为你在,达闻西乐队 / 福禄寿FloruitShow,1
因为所以,反光镜,1
因为爱所以爱,谢霆锋,1
困兽斗,Beyond,1
国王与骑士,陈雪燃,1
圣诞节,新学校废物合唱团,1
在一起嘛好不好,李荣浩,1
在云端,郭顶,1
在四季里等待,莫西子诗,1
在夏夜,郑兴,1
在夏天,曹方,1
在我二十岁的时候，我回到了爸爸的小村庄，那是我的乌托邦,悲伤玩具,1
在无常中抛下一个锚点 (Live),房东的猫,1
在时间的答案里,Peace Hotel(和平饭店),1
在木星,朴树,1
在水一方 (Live),李健,1
在流逝之外(2021 Version),声音碎片乐队,1
在风中吹,Bob Dylan,1
地上BGM (スーパーマリオブラザーズ),近藤浩治,1
地图 (Acoustic Version),黄淑惠,1
地獄の沙汰も君次第,安元洋貴 / 柿原徹也 / 喜多村英梨 / 長嶝高士 / 小林由美子 / 青山桐子,1
地球上最后一个EMO男孩,Chinese Football,1
地球吓了一跳,自然卷,1
坏的好人,张惠妹,1
坚强的理由,莫文蔚 / 伍佰,1
垂死的岁末,惘闻,1
垂死的岁末（点亮现场版）,惘闻,1
垂髫,许钧,1
城南花已开,三亩地,1
城市,张悬,1
城市潜水,椅子乐团 The Chairs,1
声音,Beyond,1
处处吻,杨千嬅,1
夏がそうさせた,never young beach,1
夏を见ていた ~“蛍火の杜へ”エンディングテーマ,おおたか静流,1
夏夕空,中孝介,1
夏夜日记,潮池蓝,1
夏夜晴朗的晚上,Matt吕彦良,1
夏夜迷语,盘尼西林,1
夏天的最后一晚 (Live at Blue Note Beijing 2017),火星电台,1
夏天的梦是什么颜色的呢 - Live,上海彩虹室内合唱团,1
夏宫,Aliosha,1
夏日回音,柳爽,1
夏日炎炎,南青乐队,1
夏日终曲 (Live),新裤子,1
夏末的歌,夏日入侵企画,1
夏末（late summer）（钢琴曲）,屯叔UncleTune,1
夕子,法老 / 泠风,1
夕阳无限好(Live),陈奕迅,1
夕阳红,佟铁鑫,1
夕阳醉了 (Live),张学友,1
外婆桥,张悬,1
外滩十八号,男才女貌,1
外面,周迅,1
外面的世界,莫文蔚,1
多多喝水,宝宝巴士,1
多得他,王菲,1
夜上海,蔡琴,1
夜尽头,嘎调,1
夜明灯,旅行团,1
夜游神,九连真人,1
夜行灯火,窦唯 / 不一定,1
夜走,打倒三明治,1
夜车,曾轶可,1
夜间独白,deca joins,1
夜風,Lamp,1
夢灯籠,RADWIMPS,1
大吉大鲤,明堂唱片 / 李丁丁MIA AIM / Major Yao,1
大城小爱,王力宏,1
大头儿子小头爸爸,群星,1
大山中的小姑娘,蒋小涵,1
大海的执着,Rustic,1
大溪地,黄小桢,1
大理,杨旭凯,1
大连，勿语,惘闻,1
大醉一场,A公馆,1
大风吹,许志安,1
大风车,中国中央人民广播电视总台少年儿童合唱团,1
天上掉下个猪八戒主题曲,群星,1
天下无双天啦地啦,梁朝伟 / 王菲,1
天下有情人,周华健 / 齐豫,1
天亮了,韩红,1
天使与海豚,梁咏琪,1
天堂,腾格尔,1
天外来物,薛之谦,1
天天,陶喆,1
天天晴朗 (苏打绿版),苏打绿,1
天才艺术家,犬儒乐队,1
天文特征,HUSH,1
天涯,任贤齐,1
天涯相随,筠子,1
天涯路口,旅行团,1
天空,王菲,1
天空是蓝的，我追求幸福的方法也是（feat.鲸鱼马戏团）,大卫,1
天边一朵云,声音碎片乐队,1
天黑黑 (Cloudy Day),卢广仲,1
天黑黑 (Cloudy Day) - 《台湾犯罪故事》戏剧主题曲,卢广仲,1
太多,陈冠蒲,1
太平洋西岸的歌,风子,1
太阳和野花,左卡,1
太阳岛上,麦田守望者,1
太阳是解药,Peace Hotel(和平饭店),1
太阳落去,霓虹花园,1
失恋阵线联盟,草蜢,1
失控,宫阁,1
失物招领,徐秉龙,1
头号甜心,张韶涵,1
奇妙能力歌,陈粒,1
奉献（电影《飞驰人生》片尾曲）,凌川夏,1
奔跑 (live),孙楠 / 古巨基 / 陈楚生 / 胡彦斌 / 汪苏泷 / 周深 / 宋亚轩,1
奥特曼（Ultraman）,余佳运,1
女人花,梅艳芳,1
女爵,杨乃文,1
女爵(demo),苏打绿,1
她 (Live),王思远,1
她教我过马路,国蛋,1
她比我丑,陈慧琳,1
她的背影 (Remastered),王杰,1
她说,林俊杰,1
好个等待,李竺芯,1
好像都一样,虞书欣 / 张彬彬,1
好大一棵树,田震,1
好好 (想把你写成一首歌),五月天,1
好好地,朴树,1
好好地 (Live版),朴树,1
好好地 (安可Live),朴树,1
好好生活就是美好生活,周深,1
好好说再见,陶喆 / 关诗敏,1
好想爱这个世界啊 (Live),华晨宇,1
好汉歌,刘欢,1
好汉歌 (Live),刘欢,1
好糟糕的派对,张震岳,1
好蹦的歌,咖喱3000,1
如何,张悬,1
如何 (Skyline),焦迈奇,1
如常,草东没有派对,1
如果不能选择，我们就去歌唱,反光镜,1
如果云知道,许茹芸,1
如果从此没有月亮 (If there is no moon anymore),怀森 / 陈一豆,1
如果你也这样过,尤长靖,1
如果你冷 (2013海洋音乐节现场版),苏打绿,1
如果你冷 (鱼 in summer),鱼丁糸,1
如果你感到难过,马飞,1
如果你还爱我,光良,1
如果你还爱我(Live),光良,1
如果可以,韦礼安,1
如果可以 (Bonus Tracks),李健,1
如果我们当时一起会怎么样,丁世光,1
如果我先死了怎么办,范晓萱,1
如果我现在死去(Live),高旗&超载乐队,1
如果是你,布朗尼,1
如果沉默是金,李健,1
如果没有你 (Live),G.E.M.邓紫棋,1
如果爱 (Live版),方大同,1
如果真的恨一个人，那就是我自己,Muma木马,1
如果说 (Live),郁一凡 / 张荣昊,1
如果这一秒钟你跟我讲你不爱我 (Live),陈奕迅,1
如烟,艾怡良,1
妇女新知 2021,莫文蔚,1
妈妈一起飞吧，妈妈一起摇滚吧,舌头,1
妈妈的吻,程琳,1
妈妈的歌谣,莫西子诗,1
妈妈睡了,陈绮贞,1
妈妈，我的玫瑰花要死了 - 现场版,上海彩虹室内合唱团,1
姊姊妹妹站起来,陶晶莹,1
姐姐,张楚,1
姑娘漂亮,何勇,1
娱乐场,王菲,1
娱乐自己,HUSH,1
婚礼的祝福,陈奕迅,1
嬉戏之后,苏打绿,1
子弹列车,林俊杰,1
存在 (Live),G.E.M.邓紫棋,1
孤单一吻,Beyond,1
孤单北半球,欧得洋,1
孤独圆舞曲,张尧,1
孤独她呀,二珂,1
孤独的人是可耻的 (Live),张楚,1
孤独的花朵,袁泉,1
孤独的鸟,惘闻,1
孤舟,Nerve Passenger（神经旅人）,1
学猫叫 (Live),谭维维,1
宇宙孤儿,幼稚园杀手,1
宇宙漫游,Matt吕彦良,1
守望麦田,王菲,1
安阳,痛仰乐队,1
安静,周杰伦,1
安静的美好,康士坦的变化球 / 郭采洁,1
宝宝巴士-上学歌（TageTage remix）,TageTage,1
宝贝 (in a day),张悬,1
宝贝 (in the night),张悬,1
宝贝，我听到银河的声音,电气樱桃,1
客官不可以,徐良 / 小凌,1
家书(demo),散人 / 朱芸霄,1
家在东北 (Live),李佳芮Shary,1
家有儿女过场插曲,群星,1
容易受伤的女人,王菲,1
宿醉之星,琥珀,1
寂寞写在你眼中,红孩儿,1
寂寞的季节,陶喆,1
寂寞的恋人啊,莫文蔚,1
寥寥此生虚度,暗杠,1
对你说,王筝,1
对峙,庾澄庆,1
对着你说,Leo1Bee,1
寻找多莉,梅卡德尔,1
将来的主人,花儿乐队,1
将进酒 (Live),罗大佑,1
小さな恋のうた,MONGOL800,1
小三,郭玲,1
小乌龟,张栋梁,1
小兔子乖乖,宝宝巴士,1
小半,陈粒,1
小小少年,中央人民广播电台少年广播合唱团,1
小小年纪谈起理想一串串,群星,1
小小校歌,陈绮贞,1
小小虫,方大同,1
小尘埃,陈绮贞,1
小尾巴之歌,邓超 / 小臭臭,1
小幸运 (Live),汪小敏,1
小径里,step.jad依加,1
小心温差,Matt吕彦良,1
小心肝,八三夭,1
小怪物去天国,哪吒乐队,1
小情歌 (Live),林俊杰,1
小情歌（伴奏）,苏打绿,1
小手拉大手,梁静茹,1
小星群 (故事未了版),苏打绿,1
小朋友,刘莱斯,1
小树树,低苦艾,1
小满,狮童乐队,1
小猪佩奇,wearied,1
小王子和他的玫瑰花,拿花负荷,1
小男人大男孩 (洛克先生Live版),萧敬腾,1
小美满,周深,1
小翅膀,声音玩具,1
小芳,李春波,1
小英雄哪吒,孙楠,1
小苹果,自然卷,1
小草,大乔小乔,1
小螺号,中央人民广播电台少年广播合唱团,1
小路,张玮玮,1
小跳蛙,青蛙乐队,1
小酒窝,林俊杰,1
小问题,AGA,1
小魔女的魔法书,范晓萱,1
小鸡小鸡,王蓉,1
小龙人之歌,好妹妹,1
少女A,中森明菜,1
少女的祈祷,杨千嬅,1
少女，飞,汉堡黄,1
少年他的奇幻漂流 (Life Live),五月天,1
少年吔，安啦！,伍佰,1
少年游,声音碎片乐队,1
少年英雄小哪吒,杨采钰,1
尘埃,王菲,1
就是爱你,陶喆,1
就算全世界与我为敌,陈绮贞,1
就让这大雨全都落下,容祖儿,1
尾班车,王菲,1
山丘,李宗盛,1
山头,无妄合作社,1
山岭线,点灯人（Lamplighters）,1
山河图,凤凰传奇,1
山海经/Classic of Mountains and Seas,DeepMountains深山,1
山脚,Jony J,1
山阴路的夏天  (叁叁肆济南站),烤牛奶,1
岁月神偷,金玟岐,1
岛,岛屿心情,1
岛屿,棱镜,1
崂山道士,美好药店,1
崇拜,梁静茹,1
左车道,五条人,1
差一点,漫游会议室,1
巴啦啦小魔仙,大小ann,1
巴山夜雨纷纷后 岷江不再恋,白水 / 林天然 / 袁田 / 陈飚 / 雨来 / 向瀟玥 / 孤島,1
巴巴罗萨,达达乐队,1
巴巴罗萨 (Live),达达乐队,1
巴赫旧约,汪苏泷,1
市中心,Tizzy T,1
希望,曹思义,1
带上我的眼睛,法兹乐队 FAZI,1
带我到山顶,王睿卓,1
带我去月球,张雨生,1
常回家看看,江涛 / 陈红 / 蔡国庆,1
幕布,海朋森,1
干杯朋友 (2016重混版),不优雅（biuya）,1
干饭王,姜荣科,1
平凡之路 (Live),朴树,1
平凡故事（Cover 李剑青）（Cover 李剑青）,栗锦,1
平凡最浪漫,王菲,1
平淡日子里的刺,宋冬野,1
平行纬度,春晓 / 彭坦,1
平行线,陈壹千,1
年年岁岁大团圆,杨钰莹 / 毛宁,1
年轻的战场,张杰,1
年轻的朋友你要去向哪,C.S.B.Q（长沙暴青）,1
幻の命,Sekai no Owari,1
幻听,许嵩,1
幻想,柳爽,1
幻觉,面孔乐队,1
广仔传,旅行团,1
床边故事,四枝筆 Four Pens,1
庐州月,许嵩,1
庞贝,许嵩,1
开不了心,陈奕迅,1
开往早晨的午夜,张碧晨,1
开心真Giao,徐真真 / 黑猫警长Giao哥 / Taisheng Music,1
异乡人,无乐,1
弥敦道,洪卓立,1
弹着吉他的少年,新裤子,1
强军战歌,阎维文,1
归途有风,王菲,1
当,动力火车 / 彝蒙组合 / 付小墨 / 伊西永藏,1
当一切结束时,岛屿心情,1
当你,王心凌,1
当你在哭,麦田守望者,1
当你见到我,刘恋,1
当我熟知的一切都变淡,海鸥诗人,1
当我要走的时候,陈硕子,1
当爱在靠近,刘若英,1
形容 (Gamer Version),沈以诚,1
彩云之南,文儿,1
彩虹天堂,刘畊宏,1
彩虹布拉克 (伴奏),于适,1
影子,王菲,1
影子先生,风子,1
彼个所在,魏如萱,1
往事只能回味,好妹妹,1
往常,莉莉周她說,1
很久,尧十三,1
很久很久,杨和苏KeyNG,1
很高兴认识你,C-BLOCK,1
徐梦圆/双笙-采茶纪（七人唱见双声道/ShakingHigh Bootleg）（ShakingHigh/倪莫问/少年霜/奶叔SHu/管珩心/谣君/洛少爷 Remix）,ShakingHigh / 倪莫问 / 少年霜 / 奶叔SHu / 管珩心  / 谣君 / 洛少爷,1
微笑,海龟先生,1
微风.往事,郑怡,1
微风吹,李润祺,1
心乱飞,陶喆,1
心動,陈洁仪,1
心太软,任贤齐,1
心情车站,任贤齐,1
心有独钟,陈晓东,1
心淡,容祖儿,1
心酸的浪漫,那英,1
心酸（cover 林宥嘉）,崖上清风,1
忘了吧,痛仰乐队,1
忘情水(Live),刘德华,1
忘记我 (现场版),上海彩虹室内合唱团,1
忙しい生活「人山人海」,时空储蓄罐,1
